,0.004,0.005,0.006
3,0.025599999999999946,0.037800000000000014,0.05100000000000008
5,0.19419999999999987,0.2390000000000001,0.28439999999999993
7,0.4010000000000004,0.43440000000000073,0.4536000000000005
