,0.001,0.0014,0.0018,0.0021999999999999997,0.0026,0.003
3,0.00039999999999999996,0.0010000000000000002,0.0020500000000000006,0.0029499999999999978,0.0038999999999999946,0.005749999999999992
5,0.0054499999999999904,0.010550000000000004,0.015250000000000036,0.02240000000000008,0.031650000000000116,0.03920000000000002
7,0.02380000000000009,0.04439999999999999,0.06344999999999995,0.08460000000000004,0.11060000000000011,0.13885000000000008
9,0.06654999999999997,0.1089500000000001,0.15085,0.1915,0.22680000000000003,0.2612
