,20000,40000,60000,80000
3,0.0004,0.0012,0.0007999999999999999,0.0014000000000000002
5,0.0001,0.0002,0.0002,0.0002
7,0.0002,0.0,0.00030000000000000003,0.0
9,0.0001,0.0,0.0,0.0
