,0.004,0.005,0.006
3,0.01539999999999998,0.024199999999999954,0.03419999999999995
5,0.028999999999999936,0.04540000000000005,0.07280000000000018
7,0.05640000000000013,0.10120000000000041,0.14880000000000024
