,1,10,50,100,150,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,5000,10000,15000,20000,25000,30000
3,1.1500000000000007e-05,6.500000000000001e-06,1.2000000000000005e-05,1.7500000000000012e-05,2.4000000000000018e-05,2.8000000000000017e-05,9.050000000000007e-05,0.00015300000000000011,0.0002615000000000002,0.0003860000000000003,0.0005289999999999997,0.0006984999999999966,0.0008894999999999947,0.0011194999999999942,0.0013314999999999915,0.0015944999999999928,0.0018769999999999907,0.0022944999999999884,0.002519999999999992,0.0029269999999999917,0.0033984999999999888,0.007989999999999966,0.028745000000000017,0.05799999999999993,0.09481999999999996,0.13276000000000004,0.17209999999999986
5,5e-07,0.0,0.0,0.0,0.0,0.0,4e-06,6.500000000000002e-06,1.4500000000000007e-05,2.600000000000002e-05,4.8500000000000034e-05,6.750000000000004e-05,0.00010300000000000008,0.0001290000000000001,0.00017950000000000013,0.0002320000000000002,0.0003035000000000002,0.0003990000000000003,0.00045650000000000036,0.0006024999999999977,0.000715999999999997,0.0025949999999999827,0.017609999999999983,0.05086000000000004,0.09861999999999996,0.15956999999999993,0.22222500000000003
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,4e-06,2.5e-06,5.000000000000001e-06,7.0000000000000024e-06,1.3500000000000008e-05,2.350000000000002e-05,2.750000000000002e-05,5.050000000000003e-05,5.0500000000000035e-05,7.850000000000005e-05,8.200000000000006e-05,0.00013050000000000008,0.0006200000000000004,0.008604999999999963,0.035459999999999964,0.08905500000000006,0.16333000000000003,0.24745499999999984
