,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200
9,2.5e-06,3.5e-06,2e-06,1e-06,2e-06,3.5e-06,3.5e-06,1e-06,1.5e-06,1e-06,3e-06,1e-06
