,1,10,50,100,150,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000
3,3.2e-05,2.4e-05,2.5e-05,3.6000000000000014e-05,4.000000000000001e-05,4.700000000000002e-05,0.00010800000000000006,0.00018800000000000012,0.0002620000000000002,0.0004090000000000003,0.0005190000000000004,0.0006880000000000005,0.0008630000000000007,0.0010989999999999978,0.0013039999999999955,0.001603999999999991,0.0018499999999999877,0.0022859999999999864,0.002554999999999982,0.0028869999999999846
5,3.4e-05,3.1e-05,3.1e-05,3.5000000000000004e-05,3.4e-05,2.2000000000000003e-05,4.600000000000001e-05,4.000000000000001e-05,4.4999999999999996e-05,6.000000000000001e-05,7.500000000000003e-05,9.400000000000006e-05,0.00013600000000000005,0.00014700000000000008,0.00019600000000000013,0.00025600000000000015,0.0003430000000000002,0.0003980000000000003,0.0004990000000000003,0.0006480000000000005
7,7.4e-05,6.500000000000001e-05,5.6e-05,7.099999999999999e-05,5.7e-05,8.1e-05,8.400000000000001e-05,6.1e-05,7.3e-05,7.000000000000001e-05,8.2e-05,6.4e-05,8.700000000000001e-05,7.800000000000001e-05,8.999999999999999e-05,9.600000000000003e-05,0.00013400000000000003,0.00015000000000000004,0.00016100000000000006,0.00015600000000000008
