,5e-05,6e-05,7e-05,7.999999999999999e-05,8.999999999999999e-05,9.999999999999999e-05
3,0.0001,0.0,0.0,0.0001,0.0001,0.0
5,0.0,0.0002,0.0004,0.00030000000000000003,0.0005,0.0006
7,0.0001,0.0004,0.0007999999999999999,0.0004,0.0006,0.0008999999999999999
9,0.00030000000000000003,0.0007999999999999999,0.0012,0.0015000000000000002,0.0016000000000000003,0.002600000000000001
