,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009000000000000001,0.010000000000000002
3,0.384,0.856,1.328,1.912,2.442,3.09,3.658,4.214,4.84,5.396
5,0.536,1.574,2.962,4.248,5.838,6.978,7.912,8.69,9.052,9.5
7,0.724,2.3,4.608,6.446,8.36,9.024,9.384,9.964,9.984,9.968
9,0.948,3.326,6.074,8.032,9.364,9.784,9.986,10.08,9.934,9.928
