,1,4,9,19,49
3,0.00030000000000000003,0.0005,0.0001,0.0001,0.0005
5,0.0,0.0,0.0,0.0,0.0001
7,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
