,0.0001,0.001,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
3,0.0,0.0,0.0,0.0001,0.0004,0.0009999999999999998,0.0007,0.0010999999999999998,0.0009999999999999998,0.0006,0.0022000000000000006
5,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.00030000000000000003,0.0005,0.0002,0.0007
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002
