,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
LX,0.00037400000000000025,0.0004050000000000003,0.0004120000000000003,0.00042000000000000034,0.0004140000000000003,0.0003960000000000003,0.0004140000000000003,0.0004280000000000003,0.00043800000000000035,0.00041500000000000033,0.0003800000000000003,0.0004100000000000003,0.0004570000000000004,0.0004050000000000003,0.00046100000000000036
LZ,1e-06,1e-06,5e-06,3e-06,9e-06,6e-06,7e-06,9e-06,4e-06,9e-06,1.2000000000000004e-05,1.4000000000000005e-05,9e-06,1.5000000000000007e-05,8e-06
syn,0.0,0.0,3e-06,5e-06,2e-06,8e-06,1e-06,9e-06,5e-06,4e-06,4e-06,7e-06,9e-06,8e-06,8e-06
