,5e-05,6e-05,7e-05,7.999999999999999e-05,8.999999999999999e-05,9.999999999999999e-05
3,0.0,0.0,0.0,0.0,0.0001,0.0
5,0.0001,0.00030000000000000003,0.0002,0.0005,0.0004,0.0006
7,0.0007999999999999999,0.0007999999999999999,0.0008999999999999999,0.0006,0.0018000000000000004,0.0024000000000000007
9,0.0008999999999999999,0.0009999999999999998,0.0018000000000000004,0.0019000000000000006,0.002600000000000001,0.0024000000000000007
