,5
0,0.003894999999999977
1,0.0
2,0.004089999999999974
3,5e-06
4,0.004114999999999974
5,2.5e-05
6,0.004119999999999974
7,4e-05
8,0.0039299999999999734
9,4e-05
10,0.004039999999999977
11,8e-05
12,0.004314999999999971
13,7.5e-05
14,0.004129999999999974
15,8e-05
16,0.0038799999999999777
17,8e-05
18,0.004204999999999976
19,7e-05
20,0.004169999999999972
21,0.00011500000000000003
22,0.004369999999999973
23,0.00013500000000000003
24,0.004009999999999975
25,9.500000000000002e-05
26,0.004219999999999972
27,0.00014000000000000007
28,0.004389999999999973
29,0.00012500000000000003
30,0.004149999999999975
31,0.00012500000000000003
32,0.0039599999999999766
33,0.00018000000000000007
34,0.004189999999999974
35,0.0002100000000000001
36,0.003984999999999973
37,0.0002000000000000001
38,0.004144999999999979
39,0.00022000000000000012
40,0.0040949999999999745
41,0.00016500000000000005
42,0.004504999999999971
43,0.0002050000000000001
44,0.004314999999999972
45,0.0002750000000000001
46,0.004289999999999972
47,0.0002750000000000001
48,0.004354999999999967
49,0.00022000000000000012
50,0.004144999999999978
51,0.0002150000000000001
52,0.004319999999999969
53,0.0002550000000000001
54,0.004369999999999975
55,0.0003450000000000002
56,0.004564999999999973
57,0.00030000000000000014
58,0.004549999999999967
59,0.0003450000000000002
60,0.004414999999999972
61,0.0003650000000000002
62,0.0043749999999999735
63,0.0003350000000000002
64,0.004469999999999971
65,0.00042500000000000025
66,0.004474999999999969
67,0.0003650000000000002
68,0.004844999999999967
69,0.0003200000000000002
70,0.004719999999999964
71,0.0003350000000000002
72,0.004304999999999974
73,0.0004000000000000003
74,0.004334999999999972
75,0.0003750000000000002
76,0.00458999999999997
77,0.0003700000000000002
78,0.0049099999999999665
79,0.0003650000000000002
80,0.004669999999999967
81,0.0004350000000000002
82,0.004604999999999969
83,0.0005100000000000004
84,0.0046249999999999685
85,0.0004600000000000003
86,0.0048349999999999695
87,0.0004750000000000003
88,0.004474999999999973
89,0.00045500000000000027
90,0.004399999999999973
91,0.0005250000000000004
92,0.004699999999999971
93,0.00042500000000000025
94,0.004844999999999972
95,0.0005250000000000004
96,0.004559999999999969
97,0.0005100000000000004
98,0.0051599999999999615
99,0.0004600000000000003
