,9
0,0.004669999999999978
1,0.0
2,0.004419999999999975
3,0.0
4,0.004679999999999973
5,0.0
6,0.004689999999999969
7,0.0
8,0.004599999999999975
9,0.0
10,0.004329999999999975
11,0.0
12,0.004769999999999969
13,0.0
14,0.004679999999999974
15,0.0
16,0.0047099999999999755
17,0.0
18,0.004849999999999972
19,0.0
20,0.0046899999999999754
21,0.0
22,0.004919999999999975
23,0.0
24,0.004889999999999975
25,0.0
26,0.004469999999999976
27,0.0
28,0.00474999999999997
29,0.0
30,0.004569999999999979
31,0.0
32,0.005099999999999967
33,0.0
34,0.004909999999999972
35,0.0
36,0.005069999999999972
37,0.0
38,0.004819999999999971
39,0.0
40,0.004969999999999974
41,0.0
42,0.0050399999999999725
43,0.0
44,0.005289999999999966
45,0.0
46,0.004979999999999971
47,0.0
48,0.004819999999999976
49,0.0
50,0.005259999999999972
51,0.0
52,0.004779999999999972
53,0.0
54,0.004979999999999971
55,0.0
56,0.004539999999999976
57,0.0
58,0.004909999999999968
59,0.0
60,0.005209999999999969
61,0.0
62,0.004969999999999973
63,0.0
64,0.005469999999999965
65,0.0
66,0.004869999999999971
67,0.0
68,0.005199999999999963
69,1e-05
70,0.005189999999999974
71,0.0
72,0.005329999999999966
73,0.0
74,0.0050899999999999695
75,0.0
76,0.005669999999999963
77,1e-05
78,0.004969999999999968
79,0.0
80,0.005759999999999966
81,1e-05
82,0.004859999999999974
83,0.0
84,0.005479999999999964
85,0.0
86,0.004939999999999972
87,0.0
88,0.005589999999999965
89,1e-05
90,0.005599999999999968
91,0.0
92,0.005469999999999967
93,2.9999999999999997e-05
94,0.005669999999999967
95,0.0
96,0.005749999999999967
97,0.0
98,0.005099999999999967
99,0.0
