,7
0,0.00502999999999997
1,0.0
2,0.004959999999999971
3,0.0
4,0.005019999999999973
5,1e-05
6,0.00472999999999997
7,0.0
8,0.004909999999999969
9,1e-05
10,0.004949999999999972
11,0.0
12,0.005179999999999964
13,2e-05
14,0.004659999999999972
15,1e-05
16,0.005179999999999968
17,1e-05
18,0.0052699999999999666
19,1e-05
20,0.005069999999999971
21,4e-05
22,0.005329999999999972
23,1e-05
24,0.004969999999999971
25,4e-05
26,0.005099999999999966
27,2.9999999999999997e-05
28,0.005249999999999968
29,4e-05
30,0.00492999999999997
31,2.9999999999999997e-05
32,0.005119999999999968
33,2e-05
34,0.004999999999999971
35,2.9999999999999997e-05
36,0.005419999999999966
37,7.000000000000001e-05
38,0.005539999999999965
39,4e-05
40,0.005099999999999968
41,4e-05
42,0.004869999999999971
43,5e-05
44,0.005159999999999965
45,2.9999999999999997e-05
46,0.00511999999999997
47,1e-05
48,0.005519999999999965
49,5e-05
50,0.005729999999999968
51,5.9999999999999995e-05
52,0.005279999999999969
53,8.999999999999999e-05
54,0.005359999999999973
55,2.9999999999999997e-05
56,0.005349999999999963
57,8e-05
58,0.005319999999999969
59,5e-05
60,0.0051899999999999715
61,8e-05
62,0.0054999999999999615
63,5e-05
64,0.005929999999999964
65,1e-05
66,0.005559999999999974
67,7.000000000000001e-05
68,0.005389999999999965
69,6e-05
70,0.005619999999999963
71,0.00010999999999999998
72,0.006009999999999958
73,6e-05
74,0.005589999999999962
75,7.000000000000001e-05
76,0.005719999999999964
77,8e-05
78,0.005409999999999963
79,5e-05
80,0.005609999999999966
81,2e-05
82,0.005849999999999962
83,6e-05
84,0.005779999999999964
85,8.999999999999999e-05
86,0.005429999999999972
87,0.00013
88,0.0062099999999999595
89,5e-05
90,0.006129999999999958
91,6e-05
92,0.005389999999999965
93,6e-05
94,0.005339999999999965
95,9.999999999999999e-05
96,0.006029999999999958
97,6e-05
98,0.005859999999999963
99,0.00010999999999999999
