,4000,8000,12000,16000,20000
3,0.0010999999999999998,0.0006,0.0014,0.0012000000000000001,0.0007999999999999999
5,0.0002,0.0,0.0,0.0,0.0007
7,0.0,0.0002,0.0001,0.0001,0.00030000000000000003
9,0.0,0.0,0.0001,0.0002,0.00030000000000000003
