,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3,0.0017000000000000001,0.007800000000000005,0.015200000000000009,0.024399999999999998,0.03729999999999998,0.05049999999999997,0.06779999999999999,0.08159999999999996,0.0998,0.1179,0.1396,0.1574000000000001,0.18440000000000004,0.20960000000000012,0.21830000000000016
5,0.0002,0.002,0.006900000000000004,0.014200000000000008,0.025099999999999997,0.04029999999999997,0.06079999999999999,0.07469999999999997,0.103,0.1213,0.1486,0.17250000000000004,0.20889999999999997,0.23070000000000004,0.2623000000000001
7,0.0001,0.0010999999999999998,0.003200000000000001,0.007100000000000004,0.01620000000000001,0.02829999999999998,0.05099999999999997,0.07179999999999997,0.10489999999999995,0.12810000000000002,0.1638,0.19910000000000008,0.2239000000000001,0.25710000000000005,0.2949
9,0.0,0.0,0.0012999999999999997,0.004100000000000001,0.012400000000000008,0.0231,0.03839999999999998,0.06309999999999998,0.09399999999999999,0.13160000000000002,0.16870000000000004,0.20329999999999987,0.24129999999999993,0.293,0.31869999999999993
11,0.0,0.0,0.0007000000000000001,0.002900000000000001,0.007500000000000003,0.016300000000000012,0.03539999999999999,0.05849999999999996,0.08629999999999997,0.13299999999999995,0.17259999999999998,0.2137,0.25409999999999994,0.30169999999999986,0.34509999999999996
13,0.0,0.0,0.0,0.0014000000000000002,0.005200000000000002,0.011700000000000009,0.02929999999999998,0.051199999999999954,0.08599999999999994,0.1284,0.18390000000000012,0.22970000000000013,0.2802,0.31809999999999994,0.3650999999999999
15,0.0,0.0,0.0002,0.0009,0.0038000000000000013,0.009000000000000006,0.0233,0.04669999999999997,0.08249999999999998,0.13100000000000003,0.18160000000000004,0.2352000000000001,0.2914999999999999,0.343,0.3823000000000001
17,0.0,0.0,0.0,0.0002,0.0018,0.007000000000000004,0.020500000000000015,0.042199999999999974,0.08209999999999995,0.127,0.18120000000000008,0.24759999999999988,0.3095999999999997,0.36229999999999996,0.39069999999999994
