,0.001,0.002,0.003,0.004,0.005
3,0.0006,0.002600000000000001,0.006399999999999994,0.009899999999999985,0.015299999999999968
5,0.0001,0.0008999999999999999,0.0030000000000000014,0.007499999999999991,0.013799999999999972
7,0.0,0.0004,0.0022000000000000006,0.004999999999999998,0.010699999999999982
9,0.0,0.00030000000000000003,0.0004,0.0031000000000000016,0.007199999999999993
