,100,500,1500,2000,2500,3000
3,0.00035600000000000025,0.00035000000000000027,0.0003950000000000003,0.0003780000000000003,0.00034000000000000024,0.0003930000000000003
5,6.800000000000004e-05,6.300000000000004e-05,4.8000000000000035e-05,7.000000000000005e-05,5.800000000000005e-05,4.000000000000003e-05
7,5e-06,7e-06,8e-06,1.1e-05,7e-06,6e-06
9,0.0,1e-06,0.0,1e-06,1e-06,0.0
