,0,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000
3,0.00016000000000000012,0.0005020000000000004,0.0010140000000000006,0.00177699999999999,0.0025329999999999836,0.0035259999999999853,0.00491499999999998,0.006112999999999978,0.007675999999999982,0.009134999999999994,0.011126999999999988
5,1.0000000000000003e-05,5.900000000000004e-05,0.00015200000000000012,0.00034000000000000024,0.0005740000000000004,0.0009660000000000007,0.0014999999999999927,0.0019689999999999886,0.002709999999999987,0.003685999999999981,0.004650999999999982
7,1e-06,8e-06,2.400000000000001e-05,7.200000000000006e-05,0.00012700000000000008,0.00021700000000000015,0.0003550000000000003,0.0005920000000000004,0.0008850000000000007,0.001263999999999995,0.0016809999999999907
9,0.0,0.0,6e-06,4e-06,1.7000000000000007e-05,5.200000000000004e-05,7.100000000000005e-05,0.0001480000000000001,0.00024400000000000018,0.0003770000000000003,0.0006120000000000005
