,0.0001,0.0002,0.0003,0.0004,0.0005,0.0006,0.0007,0.0008,0.0009,0.001
3,2.0000000000000002e-07,1.8000000000000006e-06,2.999999999999999e-06,7.200000000000005e-06,8.000000000000006e-06,9.1e-06,1.1599999999999996e-05,1.6599999999999973e-05,1.899999999999996e-05,3.019999999999992e-05
5,0.0,0.0,0.0,4.0000000000000003e-07,7.000000000000001e-07,1.2000000000000004e-06,3.199999999999999e-06,4.800000000000001e-06,6.700000000000001e-06,1.8999999999999954e-05
7,0.0,0.0,0.0,0.0,1.0000000000000001e-07,0.0,0.0,0.0,1.0000000000000001e-07,7.000000000000001e-07
