,1800,2000,2200,2400,2600,2800,3000,3200
3,0.00035000000000000016,0.00034000000000000013,0.0003300000000000001,0.0004600000000000003,0.00037000000000000016,0.00036000000000000013,0.00044000000000000023,0.0004000000000000002
5,5e-05,5e-05,7.000000000000001e-05,5e-05,2e-05,5e-05,5e-05,8e-05
7,1e-05,0.0,1e-05,2.9999999999999997e-05,0.0,1e-05,0.0,1e-05
