,500,100,1500,2000,2500,3000
3,8.900000000000006e-05,1.900000000000001e-05,0.0004970000000000004,0.0007420000000000006,0.0011499999999999974,0.0014879999999999913
5,0.0004280000000000003,0.0001410000000000001,0.001901999999999989,0.0029359999999999816,0.004181999999999986,0.005450999999999977
7,0.0010210000000000002,0.0002860000000000002,0.0040819999999999815,0.006147999999999981,0.008030999999999986,0.009779999999999987
9,0.0017959999999999884,0.0005470000000000004,0.006089999999999983,0.008222999999999992,0.009547999999999989,0.010816999999999993
