,1,10,50,100,150,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000
3,0.0,0.002,0.0,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.0,0.0,0.004,0.0,0.0,0.006
5,0.0,0.002,0.0,0.002,0.0,0.004,0.004,0.0,0.006,0.0,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0.0,0.002
7,0.006,0.004,0.0,0.004,0.0,0.01,0.008,0.004,0.0,0.004,0.006,0.004,0.008,0.006,0.006,0.002,0.002,0.006,0.006,0.008
