,1,10,50,100,150,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200
3,8.000000000000003e-06,5.5000000000000016e-06,6.000000000000002e-06,4.5e-06,1.0500000000000006e-05,1.450000000000001e-05,3.150000000000002e-05,7.750000000000005e-05,0.00011950000000000009,0.00019600000000000016,0.00023900000000000017,0.00032650000000000024,0.0004275000000000003,0.0004950000000000004,0.0006374999999999974,0.0007654999999999957,0.0008554999999999953,0.001051999999999993,0.0012459999999999932,0.001364999999999992,0.0015919999999999927
5,5e-07,0.0,0.0,0.0,0.0,5e-07,2e-06,2.5e-06,1.0000000000000006e-05,1.0000000000000006e-05,1.2500000000000007e-05,2.250000000000001e-05,2.7000000000000016e-05,4.400000000000003e-05,5.8500000000000046e-05,7.150000000000004e-05,9.250000000000007e-05,0.0001300000000000001,0.00017850000000000014,0.00017950000000000013,0.00022700000000000018
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-07,1.5e-06,5e-07,2.5e-06,4.5e-06,7.0000000000000024e-06,6.000000000000002e-06,8.500000000000003e-06,1.3000000000000008e-05,1.7500000000000012e-05,1.3000000000000008e-05,3.000000000000002e-05
