,1800,2000,2200,2400,2600,2800,3000,3200
3,0.0003621000000000001,0.0003590000000000004,0.0003571000000000001,0.0003681000000000006,0.00037210000000000026,0.00036790000000000016,0.00036409999999999996,0.00036630000000000034
5,5.980000000000013e-05,6.240000000000016e-05,5.9400000000000156e-05,5.810000000000012e-05,6.31000000000002e-05,6.230000000000009e-05,6.35000000000001e-05,6.420000000000019e-05
7,1.4799999999999994e-05,1.67e-05,1.8399999999999997e-05,1.9999999999999995e-05,1.959999999999999e-05,2.1099999999999994e-05,2.329999999999999e-05,2.4399999999999993e-05
