,1800,2000,2200,2400,2600,2800,3000
3,0.0006750000000000005,0.0006350000000000005,0.0009150000000000007,0.0009750000000000007,0.0012199999999999984,0.0013199999999999965,0.0013399999999999964
5,0.000135,0.00013499999999999997,0.00017500000000000005,0.00022000000000000006,0.00022500000000000005,0.00030000000000000014,0.00024500000000000005
7,0.00023999999999999998,0.00027,0.000275,0.00027,0.000325,0.00025,0.00028000000000000003
