,1,10,50,100,150,200,400,600,800,1000,1200,1400,1600
3,3e-06,7e-06,4e-06,6e-06,1.0000000000000003e-05,2.4000000000000014e-05,3.400000000000002e-05,8.700000000000007e-05,0.0001320000000000001,0.00016600000000000013,0.0002410000000000002,0.0003160000000000002,0.0004410000000000003
5,0.0,0.0,0.0,1e-06,0.0,1e-06,1e-06,3e-06,6e-06,7e-06,1.800000000000001e-05,2.1000000000000012e-05,3.7000000000000025e-05
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,1e-06,1e-06
